83 от 13.01.2020;;18.12.2019;"ООО ""Перфоком""";5261022880;среднее предприятие;финансовая;субсидия; 3 491 630,68   ;2019-2020;
84 от 13.01.2020;;18.12.2019;"ООО ""Кайман""";5209006187;микропредприятие;финансовая;субсидия; 251 616,18   ;2019-2021;
85 от 13.01.2020;;18.12.2019;"ООО ""Шервуд""";5251009706;малое предприятие;финансовая;субсидия; 2 090 301,37   ;2019-2021;
86 от 13.01.2020;;18.12.2019;"ООО ""ЭКОПОЛ""";5249003626;среднее предприятие;финансовая;субсидия; 1 846 262,11   ;2019-2021;
87 от 13.01.2020;;18.12.2019;"ООО ""ОБС ИМПЭКС""";5262261930;микропредприятие;финансовая;субсидия; 999 245,40   ;2019-2021;
88 от 13.01.2020;;18.12.2019;"ООО ""Нижкартон""";5259030467;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2019;
89 от 13.01.2020;;18.12.2019;"АО ""Ильино-Заборское""";5228008430;малое предприятие;финансовая;субсидия; 384 383,56   ;2019-2021;
90 от 13.01.2020;;18.12.2019;"ООО ""Идеалъ""";5201001170;микропредприятие;финансовая;субсидия; 154 303,58   ;2019-2021;
91 от 13.01.2020;;18.12.2019;"ООО ""Промтехбетон""";5260404188;малое предприятие;финансовая;субсидия; 204 533,48   ;2019-2021;
92 от 13.01.2020;;18.12.2019;"ООО ""Гранд-НН""";5257032740;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2019;
93 от 13.01.2020;;18.12.2019;"ООО ""Ластра""";5263068262;малое предприятие;финансовая;субсидия; 2 165 072,88   ;2019-2021;
94 от 13.01.2020;;18.12.2019;"ЗАО ""Завод Труд""";5261005718;среднее предприятие;финансовая;субсидия; 989 343,12   ;2019-2021;
95 от 13.01.2020;;18.12.2019;ИП Пашин А.Ю.;371800004961;среднее предприятие;финансовая;субсидия; 3 325 927,10   ;2019-2021;
96 от 13.01.2020;;18.12.2019;"ООО ""Техносоюзсервис""";5262072330;малое предприятие;финансовая;субсидия; 1 746 072,19   ;2019-2021;
97 от 13.01.2020;;18.12.2019;"ООО ""Планета БАМ""";5262115833;малое предприятие;финансовая;субсидия; 223 960,15   ;2019-2021;
98 от 13.01.2020;;18.12.2019;"ООО Арзамасский линейно-механический завод ""Старт""";5243015079;среднее предприятие;финансовая;субсидия; 1 221 359,56   ;2019-2021;
99 от 13.01.2020;;18.12.2019;"АО ""Мовен НН""";5262261827;среднее предприятие;финансовая;субсидия; 3 145 672,89   ;2019-2021;
100 от 13.01.2020;;18.12.2019;"ООО ""КомТехМаш""";5243033504;малое предприятие;финансовая;субсидия; 293 429,00   ;2019-2021;
101 от 13.01.2020;;18.12.2019;"ООО ""Рустрак""";5257099304;малое предприятие;финансовая;субсидия; 384 736,16   ;2019-2021;
102 от 13.01.2020;;25.12.2019;"ООО ""ГРУППА ПРОМАВТО""";5263093100;малое предприятие;финансовая;субсидия; 166 000,00   ;2019;
103 от 13.01.2020;;25.12.2019;"ООО ""Заснеженная Русь""";5258105374;малое предприятие;финансовая;субсидия; 26 260,00   ;2019;
104 от 13.01.2020;;25.12.2019;"ООО ""Полихим-Д""";5249156277;микропредприятие;финансовая;субсидия; 290 000,00   ;2019;
105 от 13.01.2020;;25.12.2019;"ООО ""МАИ Кемикал""";5256118890;микропредприятие;финансовая;субсидия; 83 300,00   ;2019;
106 от 13.01.2020;;25.12.2019;"ООО ""Мукомольный комбинат ""Володарский""";5214009264;среднее предприятие;финансовая;субсидия; 21 933,37   ;2019;
107 от 13.01.2020;;25.12.2019;"ЗАО ""Завод Труд""";5261005718;среднее предприятие;финансовая;субсидия; 107 280,00   ;2019;
108 от 13.01.2020;;25.12.2019;"ООО Предприятие ""НИЖПОЛИМЕРУПАК""";5249045633;среднее предприятие;финансовая;субсидия; 148 293,76   ;2019;
109 от 13.01.2020;;25.12.2019;"ООО ""ГеоМакс-НН""";5256078781;микропредприятие;финансовая;субсидия; 22 127,43   ;2019;
110 от 13.01.2020;;25.12.2019;ИП Караганский Станислав Александрович;524703424631;микропредприятие;финансовая;субсидия; 50 310,00   ;2019;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
